Year,Nitrogen,Phosphorus,Potassium,Temperature,Humidity,pH_Value,Rainfall,rice_price,wheat_price,maize_price,ChickPea_price
2000,18.07,41.43,10.57,30.38,35.28,5.57,713.19,322.08,117.51,32.76,187.43
2000,19.63,93.23,90.23,14.3,84.6,6.25,1857.93,407.29,285.2,93.5,392.58
2000,54.23,4.95,14.63,25.81,60.15,7.58,273.29,471.05,221.34,156.26,158.43
2000,99.91,25.4,94.91,16.51,80.38,5.69,447.75,232.56,89.6,147.25,69.46
2000,21.41,48.64,46.53,25.08,52.56,6.67,1195.05,182.47,210.8,135.5,245.12
2000,42.61,78.31,29.35,25.12,66.14,7.34,1851.58,283.97,174.95,86.37,362.7
2000,18.67,42.07,64.57,13.13,36.09,8.27,1302.43,235.51,298.97,86.01,233.28
2000,30.38,60.92,58.5,27.25,72.03,6.24,360.58,318.03,165.23,38.82,357.02
2000,61.85,75.05,95.32,26.66,37.17,6.51,549.76,336.7,220.99,167.2,258.34
2000,34.08,50.31,62.29,28.09,63.48,6.35,1498.62,366.64,169.3,193.77,60.22
2000,87.79,52.76,44.99,25.76,32.02,7.67,1841.35,252.93,59.53,134.11,169.84
2000,16.34,74.4,70.96,19.84,46.7,8.14,1268.59,162.43,195.71,179.6,99.84
2000,71.83,94.65,49.82,11.13,60.53,7.56,1532.94,122.45,208.57,30.48,230.12
2000,95.03,83.59,1.12,21.32,46.14,7.96,1829.24,292.29,95.96,47.13,265.97
2000,47.59,69.31,9.13,25.47,69.27,7.43,1354.13,293.42,53.82,81.92,122.05
2000,67.09,51.88,68.79,17.9,68.62,6.15,1842.86,488.18,87.53,98.53,69.73
2000,63.92,42.2,50.63,13.28,47.57,6.43,1468.35,130.29,85.2,186.47,278.47
2000,55.4,71.51,96.27,24.63,48.4,8.39,1711.87,479.29,178.12,119.23,341.39
2000,41.91,24.22,10.11,24.91,61.57,5.7,1358.58,218.37,261.48,143.88,355.65
2000,52.12,7.88,95.08,26.88,45.57,8.25,1456.57,312.03,290.33,194.99,271.63
2000,61.77,69.24,93.99,34.09,67.37,5.53,1437.55,361.39,297.7,54.33,133.51
2000,66.89,63.3,91.27,14.03,54.03,6.49,1825.82,483.08,261.91,112.65,247.76
2000,96.68,97,22.72,28.23,38.19,6.65,1509.55,401.92,51.37,187.63,270.18
2000,62.61,98.12,35.12,13.87,31.32,5.51,418.48,222.13,212.15,82.18,293.71
2000,52.45,14.43,51.63,18.65,87.21,7.15,1138.69,330.92,155.9,73.49,295.25
2000,0.81,34.93,7.68,26.05,76.14,5.57,1951.31,190.86,283.59,40.9,150.34
2000,37.83,76.17,95.8,16.21,70.75,7.01,1795.33,433.61,212.58,122.85,115.05
2000,83.95,60.61,37.16,11.51,37.32,5.94,1743.39,172.19,98.44,193.34,151.97
2000,55.37,46.69,90.23,30.46,51.8,6.16,220.3,121.23,254.49,192.71,224.07
